number components; knn; acc score; f1 score; roc score; time
9,0000;21,0000;0,0293;0,0322;0,0288;0,9391
9,0000;22,0000;0,0351;0,0407;0,0344;1,1856
9,0000;23,0000;0,0285;0,0327;0,0279;1,1324
9,0000;24,0000;0,0271;0,0312;0,0265;1,0780
9,0000;25,0000;0,0323;0,0392;0,0315;0,9893
10,0000;1,0000;0,0268;0,0418;0,0266;3,3396
10,0000;2,0000;0,0335;0,0377;0,0332;8,5779
10,0000;3,0000;0,0385;0,0435;0,0381;7,5463
10,0000;4,0000;0,0344;0,0401;0,0338;6,5016
10,0000;5,0000;0,0317;0,0364;0,0312;5,1216
10,0000;6,0000;0,0301;0,0329;0,0297;3,7728
10,0000;7,0000;0,0284;0,0329;0,0278;3,2783
10,0000;8,0000;0,0332;0,0384;0,0326;2,7285
10,0000;9,0000;0,0313;0,0338;0,0309;2,7115
10,0000;10,0000;0,0273;0,0299;0,0268;2,4772
10,0000;11,0000;0,0282;0,0317;0,0276;1,9948
10,0000;12,0000;0,0342;0,0397;0,0335;2,2859
10,0000;13,0000;0,0300;0,0347;0,0293;2,6099
10,0000;14,0000;0,0353;0,0386;0,0348;2,0528
10,0000;15,0000;0,0253;0,0301;0,0247;1,5929
10,0000;16,0000;0,0274;0,0314;0,0269;1,6181
10,0000;17,0000;0,0323;0,0380;0,0316;1,5350
10,0000;18,0000;0,0320;0,0364;0,0314;1,2948
10,0000;19,0000;0,0248;0,0293;0,0242;1,2423
10,0000;20,0000;0,0286;0,0318;0,0281;1,2475
10,0000;21,0000;0,0361;0,0420;0,0354;1,1240
10,0000;22,0000;0,0303;0,0348;0,0297;1,2976
10,0000;23,0000;0,0313;0,0382;0,0305;1,0452
10,0000;24,0000;0,0355;0,0419;0,0347;0,9196
10,0000;25,0000;0,0324;0,0349;0,0319;1,2433
11,0000;1,0000;0,0275;0,0428;0,0273;3,1458
11,0000;2,0000;0,0283;0,0323;0,0282;9,5794
11,0000;3,0000;0,0326;0,0372;0,0322;7,4202
11,0000;4,0000;0,0319;0,0347;0,0315;3,6407
11,0000;5,0000;0,0298;0,0354;0,0291;4,0509
11,0000;6,0000;0,0283;0,0328;0,0278;4,1764
11,0000;7,0000;0,0300;0,0363;0,0293;3,2331
11,0000;8,0000;0,0353;0,0424;0,0345;3,0471
11,0000;9,0000;0,0267;0,0288;0,0264;2,2509
11,0000;10,0000;0,0334;0,0387;0,0327;2,7639
11,0000;11,0000;0,0325;0,0363;0,0321;2,1235
11,0000;12,0000;0,0308;0,0366;0,0301;1,8282
11,0000;13,0000;0,0319;0,0370;0,0312;1,5980
11,0000;14,0000;0,0285;0,0328;0,0279;1,5324
11,0000;15,0000;0,0343;0,0391;0,0336;1,6129
11,0000;16,0000;0,0364;0,0417;0,0357;1,6666
