number components; knn; acc; f1 score; roc score; time
10,0000;15,0000;0,7833;0,7965;0,7821;5,6177
10,0000;16,0000;0,7892;0,8028;0,7880;5,3867
10,0000;17,0000;0,7843;0,7966;0,7832;5,3983
10,0000;18,0000;0,7909;0,8043;0,7896;4,9280
10,0000;19,0000;0,7908;0,8042;0,7896;4,5828
10,0000;20,0000;0,7888;0,8025;0,7876;4,5167
10,0000;21,0000;0,7861;0,8000;0,7848;4,1753
10,0000;22,0000;0,7909;0,8047;0,7897;4,3284
10,0000;23,0000;0,7953;0,8087;0,7939;4,0930
10,0000;24,0000;0,7938;0,8057;0,7926;3,8412
10,0000;25,0000;0,7875;0,8018;0,7862;4,0177
11,0000;1,0000;0,6444;0,5758;0,6482;28,4836
11,0000;2,0000;0,7339;0,7390;0,7337;28,5348
11,0000;3,0000;0,7601;0,7686;0,7595;22,7611
11,0000;4,0000;0,7730;0,7817;0,7724;15,9750
11,0000;5,0000;0,7715;0,7837;0,7705;13,2080
11,0000;6,0000;0,7780;0,7896;0,7771;12,4887
11,0000;7,0000;0,7758;0,7863;0,7750;9,9998
11,0000;8,0000;0,7812;0,7933;0,7801;8,9882
11,0000;9,0000;0,7823;0,7967;0,7811;8,1260
11,0000;10,0000;0,7821;0,7956;0,7809;8,1935
11,0000;11,0000;0,7739;0,7852;0,7731;6,8331
11,0000;12,0000;0,7794;0,7915;0,7784;6,2302
11,0000;13,0000;0,7811;0,7940;0,7800;5,8603
11,0000;14,0000;0,7918;0,8043;0,7907;5,5244
11,0000;15,0000;0,7834;0,7959;0,7823;5,3904
11,0000;16,0000;0,7853;0,7970;0,7842;5,0802
11,0000;17,0000;0,7895;0,8033;0,7882;4,7565
11,0000;18,0000;0,7863;0,7979;0,7853;5,0163
11,0000;19,0000;0,7912;0,8050;0,7900;4,4033
11,0000;20,0000;0,7853;0,7976;0,7843;4,5502
11,0000;21,0000;0,7919;0,8063;0,7906;4,0610
11,0000;22,0000;0,7951;0,8104;0,7936;3,8097
11,0000;23,0000;0,7974;0,8121;0,7960;4,2484
11,0000;24,0000;0,7959;0,8110;0,7944;3,7205
11,0000;25,0000;0,8012;0,8150;0,7998;3,5476
12,0000;1,0000;0,6406;0,5756;0,6442;27,4467
12,0000;2,0000;0,7515;0,7585;0,7512;29,1228
12,0000;3,0000;0,7530;0,7642;0,7522;24,0229
12,0000;4,0000;0,7415;0,7519;0,7408;18,3448
12,0000;5,0000;0,7522;0,7666;0,7512;15,2711
12,0000;6,0000;0,7522;0,7646;0,7513;12,5699
12,0000;7,0000;0,7604;0,7738;0,7593;10,7622
12,0000;8,0000;0,7664;0,7791;0,7653;10,4867
12,0000;9,0000;0,7647;0,7760;0,7639;8,7742
12,0000;10,0000;0,7712;0,7855;0,7700;7,7521
12,0000;11,0000;0,7731;0,7886;0,7718;6,8973
12,0000;12,0000;0,7760;0,7903;0,7747;6,1521
12,0000;13,0000;0,7767;0,7903;0,7756;6,2209
12,0000;14,0000;0,7828;0,7965;0,7816;6,1738
12,0000;15,0000;0,7785;0,7910;0,7774;5,3847
12,0000;16,0000;0,7939;0,8091;0,7924;4,8594
12,0000;17,0000;0,7843;0,7968;0,7832;5,0526
12,0000;18,0000;0,7865;0,7987;0,7854;4,8674
12,0000;19,0000;0,7807;0,7931;0,7797;4,6255
12,0000;20,0000;0,7891;0,8030;0,7878;4,3301
12,0000;21,0000;0,7861;0,7998;0,7849;4,5700
12,0000;22,0000;0,7884;0,8018;0,7872;4,0791
12,0000;23,0000;0,7910;0,8045;0,7898;3,8335
12,0000;24,0000;0,7915;0,8064;0,7901;3,7693
12,0000;25,0000;0,7931;0,8067;0,7919;3,5856
13,0000;1,0000;0,6511;0,5884;0,6547;32,1713
13,0000;2,0000;0,7260;0,7328;0,7257;32,2941
13,0000;3,0000;0,7467;0,7581;0,7460;22,1294
13,0000;4,0000;0,7489;0,7616;0,7480;17,4892
13,0000;5,0000;0,7536;0,7667;0,7527;14,6692
13,0000;6,0000;0,7555;0,7687;0,7545;12,6824
13,0000;7,0000;0,7583;0,7700;0,7575;10,1113
13,0000;8,0000;0,7577;0,7727;0,7566;11,1043
13,0000;9,0000;0,7605;0,7731;0,7596;8,0616
13,0000;10,0000;0,7679;0,7807;0,7669;8,0733
13,0000;11,0000;0,7677;0,7812;0,7666;7,1819
13,0000;12,0000;0,7702;0,7840;0,7691;6,6177
13,0000;13,0000;0,7683;0,7802;0,7674;6,2611
13,0000;14,0000;0,7751;0,7877;0,7741;5,8322
13,0000;15,0000;0,7727;0,7836;0,7718;5,5247
13,0000;16,0000;0,7733;0,7850;0,7723;5,0944
13,0000;17,0000;0,7735;0,7860;0,7725;4,8985
13,0000;18,0000;0,7708;0,7813;0,7700;4,6956
13,0000;19,0000;0,7774;0,7913;0,7763;4,8012
13,0000;20,0000;0,7775;0,7901;0,7765;4,3154
13,0000;21,0000;0,7813;0,7938;0,7803;4,1190
13,0000;22,0000;0,7744;0,7865;0,7734;4,1705
13,0000;23,0000;0,7837;0,7953;0,7828;3,8580
13,0000;24,0000;0,7861;0,7998;0,7848;3,8089
13,0000;25,0000;0,7768;0,7867;0,7760;3,7911
14,0000;1,0000;0,6628;0,6091;0,6661;28,6101
14,0000;2,0000;0,7357;0,7423;0,7354;27,1792
14,0000;3,0000;0,7397;0,7516;0,7389;22,2405
14,0000;4,0000;0,7468;0,7583;0,7460;16,9886
14,0000;5,0000;0,7558;0,7673;0,7550;14,2821
14,0000;6,0000;0,7517;0,7643;0,7508;12,0984
14,0000;7,0000;0,7572;0,7686;0,7564;10,8620
14,0000;8,0000;0,7612;0,7743;0,7602;9,7358
14,0000;9,0000;0,7669;0,7793;0,7659;8,3924
14,0000;10,0000;0,7691;0,7831;0,7679;7,9216
14,0000;11,0000;0,7655;0,7777;0,7646;7,3812
14,0000;12,0000;0,7744;0,7874;0,7733;6,8436
14,0000;13,0000;0,7742;0,7868;0,7732;6,3111
14,0000;14,0000;0,7704;0,7817;0,7696;5,8968
14,0000;15,0000;0,7755;0,7875;0,7746;5,3185
14,0000;16,0000;0,7725;0,7848;0,7715;5,0919
14,0000;17,0000;0,7728;0,7851;0,7718;4,8710
14,0000;18,0000;0,7753;0,7873;0,7743;4,7330
14,0000;19,0000;0,7855;0,7990;0,7842;4,8935
14,0000;20,0000;0,7773;0,7881;0,7764;4,4689
14,0000;21,0000;0,7807;0,7938;0,7796;4,1214
14,0000;22,0000;0,7834;0,7929;0,7826;4,1638
14,0000;23,0000;0,7812;0,7933;0,7801;4,1542
14,0000;24,0000;0,7919;0,8050;0,7907;3,8413
14,0000;25,0000;0,7852;0,7980;0,7841;3,5863
15,0000;1,0000;0,6534;0,5925;0,6570;28,3197
15,0000;2,0000;0,7569;0,7654;0,7563;26,6418
15,0000;3,0000;0,7449;0,7568;0,7441;19,7565
15,0000;4,0000;0,7581;0,7689;0,7574;15,3596
15,0000;5,0000;0,7536;0,7649;0,7529;13,6367
15,0000;6,0000;0,7594;0,7730;0,7584;12,4902
15,0000;7,0000;0,7497;0,7614;0,7489;10,1688
15,0000;8,0000;0,7497;0,7628;0,7488;9,4285
15,0000;9,0000;0,7658;0,7789;0,7647;8,2391
15,0000;10,0000;0,7690;0,7825;0,7679;7,5292
15,0000;11,0000;0,7792;0,7924;0,7781;6,5122
15,0000;12,0000;0,7788;0,7918;0,7777;6,6111
15,0000;13,0000;0,7712;0,7828;0,7702;5,8333
15,0000;14,0000;0,7812;0,7923;0,7804;5,8445
15,0000;15,0000;0,7769;0,7870;0,7761;5,2214
15,0000;16,0000;0,7774;0,7858;0,7769;5,0675
15,0000;17,0000;0,7785;0,7891;0,7777;4,8517
15,0000;18,0000;0,7885;0,8013;0,7874;4,6796
15,0000;19,0000;0,7859;0,7967;0,7851;4,6325
15,0000;20,0000;0,7764;0,7865;0,7756;4,0942
15,0000;21,0000;0,7855;0,7968;0,7845;3,9204
15,0000;22,0000;0,7828;0,7958;0,7818;3,5784
15,0000;23,0000;0,7904;0,8033;0,7893;3,6587
15,0000;24,0000;0,7881;0,8002;0,7870;3,4471
15,0000;25,0000;0,7942;0,8074;0,7930;3,5599
16,0000;1,0000;0,6267;0,5562;0,6304;28,1160
16,0000;2,0000;0,7570;0,7648;0,7566;27,6371
16,0000;3,0000;0,7484;0,7589;0,7478;21,8041
16,0000;4,0000;0,7520;0,7617;0,7513;16,8158
16,0000;5,0000;0,7538;0,7656;0,7529;13,8040
16,0000;6,0000;0,7536;0,7674;0,7526;11,0136
16,0000;7,0000;0,7561;0,7681;0,7552;11,2649
16,0000;8,0000;0,7555;0,7684;0,7546;9,3489
16,0000;9,0000;0,7667;0,7794;0,7657;7,9253
16,0000;10,0000;0,7642;0,7762;0,7633;7,5869
16,0000;11,0000;0,7730;0,7861;0,7719;6,7292
16,0000;12,0000;0,7710;0,7827;0,7701;6,8613
16,0000;13,0000;0,7801;0,7920;0,7791;5,8472
16,0000;14,0000;0,7749;0,7863;0,7740;5,9938
16,0000;15,0000;0,7780;0,7872;0,7773;5,4174
16,0000;16,0000;0,7730;0,7825;0,7723;5,2162
16,0000;17,0000;0,7789;0,7902;0,7779;4,8001
16,0000;18,0000;0,7788;0,7893;0,7780;4,9129
16,0000;19,0000;0,7788;0,7894;0,7779;4,5985
16,0000;20,0000;0,7858;0,7969;0,7849;4,1962
16,0000;21,0000;0,7859;0,7979;0,7849;4,3369
16,0000;22,0000;0,7820;0,7935;0,7811;3,8957
16,0000;23,0000;0,7829;0,7941;0,7820;4,0917
16,0000;24,0000;0,7811;0,7924;0,7802;3,9309
16,0000;25,0000;0,7842;0,7976;0,7831;3,6922
17,0000;1,0000;0,6652;0,5998;0,6690;27,4423
17,0000;2,0000;0,7580;0,7659;0,7576;25,9324
17,0000;3,0000;0,7604;0,7711;0,7597;20,1716
17,0000;4,0000;0,7555;0,7654;0,7549;16,7552
17,0000;5,0000;0,7504;0,7627;0,7496;14,5670
17,0000;6,0000;0,7474;0,7578;0,7467;12,7077
17,0000;7,0000;0,7472;0,7601;0,7463;11,7914
17,0000;8,0000;0,7559;0,7684;0,7550;9,7247
17,0000;9,0000;0,7570;0,7696;0,7561;8,7409
17,0000;10,0000;0,7596;0,7718;0,7587;8,2764
17,0000;11,0000;0,7664;0,7788;0,7655;7,6647
17,0000;12,0000;0,7748;0,7862;0,7739;6,9003
17,0000;13,0000;0,7726;0,7831;0,7718;6,5375
17,0000;14,0000;0,7727;0,7828;0,7720;5,9088
17,0000;15,0000;0,7766;0,7861;0,7760;6,0109
17,0000;16,0000;0,7742;0,7826;0,7737;5,2914
17,0000;17,0000;0,7753;0,7845;0,7746;5,4222
17,0000;18,0000;0,7785;0,7860;0,7780;4,9351
17,0000;19,0000;0,7769;0,7870;0,7761;4,4731
17,0000;20,0000;0,7890;0,8007;0,7880;4,5064
17,0000;21,0000;0,7885;0,8005;0,7874;4,2619
