knn,comp,acc,f_score,roc,time
6,1,0.5474,0.5753,0.5463,8.1083
6,1,0.5803,0.5907,0.58,16.726
6,1,0.5803,0.5594,0.5816,9.687
6,1,0.562,0.5862,0.561,7.482
6,1,0.6715,0.6831,0.6711,6.246
6,1,0.5255,0.5548,0.5244,12.284
6,1,0.5876,0.6035,0.587,9.4931
6,1,0.6131,0.6187,0.6131,14.31
6,1,0.5511,0.5393,0.5519,10.113
6,1,0.6423,0.6776,0.6402,7.306
6,1,0.573,0.5836,0.5727,8.3169
6,1,0.6131,0.5859,0.6149,10.085
6,1,0.6241,0.6436,0.6232,17.175
6,1,0.5766,0.5944,0.576,7.918
6,1,0.5657,0.5609,0.5662,9.658
6,1,0.6058,0.6224,0.6052,9.0729
6,1,0.5474,0.5603,0.5471,12.564
6,1,0.5766,0.5972,0.5758,9.155
6,1,0.6095,0.6246,0.6089,10.921
6,1,0.6131,0.6294,0.6125,5.302
6,1,0.5219,0.513,0.5225,11.507
6,1,0.5985,0.6043,0.5985,16.2659
6,1,0.5949,0.5934,0.5953,8.074
6,1,0.5511,0.5323,0.5522,12.45
6,1,0.6131,0.6419,0.6117,11.628
6,1,0.5657,0.5543,0.5665,11.8131
6,1,0.5766,0.5887,0.5763,11.963
6,1,0.562,0.5714,0.5618,18.2215
6,1,0.5876,0.6007,0.5872,10.263
6,1,0.5985,0.5896,0.5993,14.108
6,1,0.5182,0.5111,0.5188,11.251
6,1,0.5912,0.619,0.5899,6.8145
6,1,0.6131,0.6131,0.6134,8.757
6,1,0.5876,0.5861,0.588,6.748
6,1,0.5876,0.6063,0.5868,15.3149
6,1,0.5511,0.5744,0.5502,9.7001
7,1,0.5693,0.5816,0.569,14.185
7,1,0.5547,0.558,0.5549,10.4441
7,1,0.5876,0.5703,0.5888,9.6529
7,1,0.635,0.6377,0.6352,15.022
7,1,0.5876,0.5979,0.5873,10.423
7,1,0.6168,0.6008,0.618,15.3731
7,1,0.5803,0.5693,0.5811,8.1436
7,1,0.5803,0.6021,0.5794,9.609
7,1,0.5985,0.6071,0.5983,10.113
7,1,0.5985,0.6043,0.5985,10.842
7,1,0.5912,0.6267,0.5894,6.553
7,1,0.6277,0.6408,0.6272,13.6961
7,1,0.573,0.5745,0.5732,11.15
7,1,0.5985,0.6284,0.5971,5.604
7,1,0.6204,0.6204,0.6207,10.859
7,1,0.6022,0.6355,0.6005,4.799
7,1,0.573,0.6113,0.5711,18.302
7,1,0.5766,0.5573,0.5779,5.2086
7,1,0.562,0.5652,0.5622,5.132
7,1,0.5985,0.6259,0.5972,8.8559
7,1,0.5365,0.5415,0.5365,5.8969
7,1,0.5401,0.5227,0.5412,13.028
7,1,0.5657,0.6149,0.5632,7.717
7,1,0.5876,0.609,0.5867,8.302
7,1,0.5584,0.5632,0.5584,7.368
7,1,0.6095,0.6137,0.6095,5.552
7,1,0.5839,0.6149,0.5825,11.3798
