number components; knn; acc score; f1 score; roc score; time
12,0000;3,0000;0,8474;0,8484;0,8476;21,0507
12,0000;4,0000;0,8666;0,8673;0,8668;14,6511
12,0000;5,0000;0,8669;0,8681;0,8671;13,0252
12,0000;6,0000;0,8672;0,8676;0,8675;11,5456
12,0000;7,0000;0,8767;0,8776;0,8769;9,9615
12,0000;8,0000;0,8764;0,8780;0,8765;8,1923
12,0000;9,0000;0,8657;0,8679;0,8657;7,4662
12,0000;10,0000;0,8720;0,8738;0,8720;6,5425
12,0000;11,0000;0,8725;0,8746;0,8725;6,2550
12,0000;12,0000;0,8703;0,8725;0,8703;6,2191
12,0000;13,0000;0,8680;0,8691;0,8682;5,5391
12,0000;14,0000;0,8616;0,8613;0,8620;5,4954
12,0000;15,0000;0,8590;0,8603;0,8591;5,1013
12,0000;16,0000;0,8618;0,8639;0,8619;5,4829
12,0000;17,0000;0,8652;0,8666;0,8653;4,3268
12,0000;18,0000;0,8599;0,8607;0,8602;4,3707
12,0000;19,0000;0,8611;0,8635;0,8611;4,1099
12,0000;20,0000;0,8577;0,8583;0,8580;4,1385
12,0000;21,0000;0,8574;0,8595;0,8575;4,1288
12,0000;22,0000;0,8536;0,8533;0,8539;3,8590
12,0000;23,0000;0,8531;0,8537;0,8534;3,6737
12,0000;24,0000;0,8546;0,8559;0,8548;3,6962
12,0000;25,0000;0,8596;0,8612;0,8597;3,6927
13,0000;1,0000;0,6991;0,6193;0,7040;25,7863
13,0000;2,0000;0,8419;0,8415;0,8423;27,0676
13,0000;3,0000;0,8577;0,8586;0,8580;21,7713
13,0000;4,0000;0,8561;0,8555;0,8566;15,5034
13,0000;5,0000;0,8638;0,8628;0,8643;13,4944
13,0000;6,0000;0,8603;0,8597;0,8607;9,9958
13,0000;7,0000;0,8685;0,8687;0,8689;9,8637
13,0000;8,0000;0,8645;0,8646;0,8649;8,6841
13,0000;9,0000;0,8720;0,8731;0,8721;8,3457
13,0000;10,0000;0,8681;0,8692;0,8683;7,2684
13,0000;11,0000;0,8699;0,8714;0,8701;6,8581
13,0000;12,0000;0,8755;0,8766;0,8757;6,4556
13,0000;13,0000;0,8766;0,8789;0,8766;6,2185
13,0000;14,0000;0,8682;0,8705;0,8681;5,4115
13,0000;15,0000;0,8667;0,8677;0,8669;5,4602
13,0000;16,0000;0,8731;0,8753;0,8730;4,9889
13,0000;17,0000;0,8614;0,8634;0,8614;4,9295
13,0000;18,0000;0,8635;0,8651;0,8636;4,4241
13,0000;19,0000;0,8640;0,8662;0,8640;4,2461
13,0000;20,0000;0,8624;0,8644;0,8625;4,0777
13,0000;21,0000;0,8591;0,8607;0,8592;4,0323
13,0000;22,0000;0,8542;0,8565;0,8542;3,9538
13,0000;23,0000;0,8541;0,8558;0,8542;3,7291
13,0000;24,0000;0,8498;0,8516;0,8499;3,6900
13,0000;25,0000;0,8461;0,8480;0,8462;3,5286
14,0000;1,0000;0,7088;0,6405;0,7131;26,1584
14,0000;2,0000;0,8309;0,8292;0,8315;27,2654
14,0000;3,0000;0,8620;0,8613;0,8624;19,8364
14,0000;4,0000;0,8737;0,8750;0,8739;16,6091
14,0000;5,0000;0,8683;0,8677;0,8688;11,5968
14,0000;6,0000;0,8685;0,8693;0,8687;10,6086
14,0000;7,0000;0,8743;0,8742;0,8746;10,0478
14,0000;8,0000;0,8723;0,8734;0,8725;8,7312
14,0000;9,0000;0,8691;0,8702;0,8692;6,9963
14,0000;10,0000;0,8671;0,8685;0,8672;6,9540
14,0000;11,0000;0,8705;0,8722;0,8706;6,6306
14,0000;12,0000;0,8602;0,8605;0,8605;6,4350
14,0000;13,0000;0,8588;0,8598;0,8591;5,8724
14,0000;14,0000;0,8685;0,8715;0,8684;5,5796
14,0000;15,0000;0,8548;0,8566;0,8549;5,4349
14,0000;16,0000;0,8490;0,8498;0,8492;5,0656
14,0000;17,0000;0,8570;0,8586;0,8571;4,9739
14,0000;18,0000;0,8584;0,8577;0,8588;4,9527
14,0000;19,0000;0,8456;0,8470;0,8458;4,3551
14,0000;20,0000;0,8465;0,8479;0,8467;4,0710
14,0000;21,0000;0,8487;0,8511;0,8487;4,1660
14,0000;22,0000;0,8469;0,8492;0,8470;3,8480
14,0000;23,0000;0,8430;0,8457;0,8430;3,8718
14,0000;24,0000;0,8408;0,8443;0,8407;3,7946
14,0000;25,0000;0,8426;0,8462;0,8425;3,4765
15,0000;1,0000;0,6741;0,5772;0,6794;25,5151
15,0000;2,0000;0,8258;0,8236;0,8264;26,6372
15,0000;3,0000;0,8366;0,8369;0,8370;20,0249
15,0000;4,0000;0,8426;0,8423;0,8430;17,3134
15,0000;5,0000;0,8475;0,8487;0,8477;13,2434
15,0000;6,0000;0,8481;0,8493;0,8483;11,9194
15,0000;7,0000;0,8497;0,8486;0,8502;10,0733
15,0000;8,0000;0,8485;0,8496;0,8487;9,0392
15,0000;9,0000;0,8438;0,8457;0,8439;8,0033
15,0000;10,0000;0,8549;0,8572;0,8549;7,5919
15,0000;11,0000;0,8520;0,8549;0,8520;6,2118
15,0000;12,0000;0,8599;0,8627;0,8598;6,3299
15,0000;13,0000;0,8553;0,8587;0,8551;6,0090
15,0000;14,0000;0,8534;0,8570;0,8532;5,5548
15,0000;15,0000;0,8580;0,8617;0,8578;5,6940
15,0000;16,0000;0,8505;0,8536;0,8504;5,1601
15,0000;17,0000;0,8437;0,8482;0,8434;4,6320
15,0000;18,0000;0,8485;0,8521;0,8483;4,5852
15,0000;19,0000;0,8495;0,8531;0,8493;4,4579
15,0000;20,0000;0,8469;0,8506;0,8467;4,1197
15,0000;21,0000;0,8568;0,8614;0,8564;4,1995
15,0000;22,0000;0,8461;0,8513;0,8456;3,8065
15,0000;23,0000;0,8474;0,8528;0,8469;3,7967
15,0000;24,0000;0,8374;0,8432;0,8369;3,7998
15,0000;25,0000;0,8326;0,8382;0,8322;3,5370
16,0000;1,0000;0,6980;0,6234;0,7026;28,0230
16,0000;2,0000;0,8158;0,8137;0,8164;27,6897
16,0000;3,0000;0,8345;0,8329;0,8350;20,4318
16,0000;4,0000;0,8474;0,8471;0,8478;16,3567
16,0000;5,0000;0,8458;0,8441;0,8464;13,3704
16,0000;6,0000;0,8532;0,8519;0,8538;10,5569
16,0000;7,0000;0,8555;0,8558;0,8558;9,1333
16,0000;8,0000;0,8600;0,8610;0,8602;8,2484
16,0000;9,0000;0,8634;0,8654;0,8635;7,5785
16,0000;10,0000;0,8551;0,8585;0,8550;7,1501
16,0000;11,0000;0,8582;0,8596;0,8584;6,5732
16,0000;12,0000;0,8561;0,8577;0,8562;5,8056
16,0000;13,0000;0,8602;0,8619;0,8603;6,3230
16,0000;14,0000;0,8530;0,8543;0,8532;6,0712
16,0000;15,0000;0,8402;0,8414;0,8404;4,8763
16,0000;16,0000;0,8491;0,8500;0,8492;5,1709
16,0000;17,0000;0,8401;0,8419;0,8403;5,1364
16,0000;18,0000;0,8395;0,8418;0,8396;4,9736
16,0000;19,0000;0,8369;0,8368;0,8372;4,5917
16,0000;20,0000;0,8445;0,8461;0,8446;4,2801
16,0000;21,0000;0,8453;0,8456;0,8455;4,5537
16,0000;22,0000;0,8392;0,8403;0,8394;4,3439
16,0000;23,0000;0,8436;0,8451;0,8437;3,9027
16,0000;24,0000;0,8436;0,8445;0,8437;4,2133
16,0000;25,0000;0,8429;0,8438;0,8431;3,8664
17,0000;1,0000;0,7421;0,6944;0,7458;28,8319
17,0000;2,0000;0,8539;0,8543;0,8543;28,3865
17,0000;3,0000;0,8708;0,8713;0,8711;21,3501
17,0000;4,0000;0,8688;0,8684;0,8693;14,8410
17,0000;5,0000;0,8659;0,8653;0,8664;13,7820
17,0000;6,0000;0,8719;0,8722;0,8722;11,8344
17,0000;7,0000;0,8747;0,8743;0,8751;9,3819
17,0000;8,0000;0,8809;0,8825;0,8810;9,0549
17,0000;9,0000;0,8647;0,8651;0,8651;7,6640
17,0000;10,0000;0,8728;0,8731;0,8731;7,1857
17,0000;11,0000;0,8734;0,8742;0,8736;7,1826
17,0000;12,0000;0,8711;0,8713;0,8714;6,3435
17,0000;13,0000;0,8665;0,8674;0,8667;6,3963
17,0000;14,0000;0,8649;0,8655;0,8651;5,5679
17,0000;15,0000;0,8658;0,8665;0,8660;4,7813
17,0000;16,0000;0,8726;0,8755;0,8725;4,6081
17,0000;17,0000;0,8609;0,8618;0,8610;4,9244
17,0000;18,0000;0,8586;0,8602;0,8587;4,4744
17,0000;19,0000;0,8558;0,8574;0,8558;4,5441
17,0000;20,0000;0,8571;0,8584;0,8572;4,2824
17,0000;21,0000;0,8605;0,8621;0,8606;3,9086
17,0000;22,0000;0,8518;0,8526;0,8520;3,6766
17,0000;23,0000;0,8549;0,8565;0,8550;3,7281
17,0000;24,0000;0,8486;0,8516;0,8485;3,4752
17,0000;25,0000;0,8561;0,8577;0,8561;3,6663
18,0000;1,0000;0,7281;0,6706;0,7322;26,4172
18,0000;2,0000;0,8205;0,8184;0,8211;26,8081
18,0000;3,0000;0,8385;0,8359;0,8392;19,9738
18,0000;4,0000;0,8482;0,8473;0,8487;15,1219
18,0000;5,0000;0,8526;0,8504;0,8532;12,3614
18,0000;6,0000;0,8644;0,8652;0,8646;10,6024
18,0000;7,0000;0,8623;0,8613;0,8629;8,9238
18,0000;8,0000;0,8597;0,8582;0,8603;8,4411
18,0000;9,0000;0,8509;0,8532;0,8510;7,9322
18,0000;10,0000;0,8604;0,8606;0,8607;7,4178
18,0000;11,0000;0,8585;0,8593;0,8588;7,0377
18,0000;12,0000;0,8609;0,8618;0,8611;6,3080
18,0000;13,0000;0,8521;0,8529;0,8524;6,2169
18,0000;14,0000;0,8632;0,8647;0,8633;5,6515
18,0000;15,0000;0,8563;0,8561;0,8567;5,4427
18,0000;16,0000;0,8534;0,8547;0,8536;5,1571
18,0000;17,0000;0,8555;0,8565;0,8557;5,2443
18,0000;18,0000;0,8581;0,8590;0,8583;4,7588
18,0000;19,0000;0,8542;0,8554;0,8544;4,6757
18,0000;20,0000;0,8562;0,8562;0,8566;4,5184
18,0000;21,0000;0,8433;0,8438;0,8436;4,3215
18,0000;22,0000;0,8473;0,8489;0,8474;4,0602
18,0000;23,0000;0,8511;0,8543;0,8510;3,9735
18,0000;24,0000;0,8518;0,8529;0,8520;3,8966
18,0000;25,0000;0,8545;0,8555;0,8547;3,4578
19,0000;1,0000;0,7132;0,6458;0,7176;27,4416
19,0000;2,0000;0,8463;0,8456;0,8467;25,7437
19,0000;3,0000;0,8570;0,8575;0,8573;20,4358
