knn; number components; acc score; f1 score; roc score; time
6,0000;1,0000;0,5766;0,5972;0,5758;9,1550
6,0000;1,0000;0,6095;0,6246;0,6089;10,9210
6,0000;1,0000;0,6131;0,6294;0,6125;5,3020
6,0000;1,0000;0,5219;0,5130;0,5225;11,5070
6,0000;1,0000;0,5985;0,6043;0,5985;16,2659
6,0000;1,0000;0,5949;0,5934;0,5953;8,0740
6,0000;1,0000;0,5511;0,5323;0,5522;12,4500
6,0000;1,0000;0,6131;0,6419;0,6117;11,6280
6,0000;1,0000;0,5657;0,5543;0,5665;11,8131
6,0000;1,0000;0,5766;0,5887;0,5763;11,9630
6,0000;1,0000;0,5620;0,5714;0,5618;18,2215
6,0000;1,0000;0,5876;0,6007;0,5872;10,2630
6,0000;1,0000;0,5985;0,5896;0,5993;14,1080
6,0000;1,0000;0,5182;0,5111;0,5188;11,2510
6,0000;1,0000;0,5912;0,6190;0,5899;6,8145
6,0000;1,0000;0,6131;0,6131;0,6134;8,7570
6,0000;1,0000;0,5876;0,5861;0,5880;6,7480
6,0000;1,0000;0,5876;0,6063;0,5868;15,3149
6,0000;1,0000;0,5511;0,5744;0,5502;9,7001
7,0000;1,0000;0,5693;0,5816;0,5690;14,1850
7,0000;1,0000;0,5547;0,5580;0,5549;10,4441
7,0000;1,0000;0,5876;0,5703;0,5888;9,6529
7,0000;1,0000;0,6350;0,6377;0,6352;15,0220
7,0000;1,0000;0,5876;0,5979;0,5873;10,4230
7,0000;1,0000;0,6168;0,6008;0,6180;15,3731
7,0000;1,0000;0,5803;0,5693;0,5811;8,1436
7,0000;1,0000;0,5803;0,6021;0,5794;9,6090
7,0000;1,0000;0,5985;0,6071;0,5983;10,1130
7,0000;1,0000;0,5985;0,6043;0,5985;10,8420
7,0000;1,0000;0,5912;0,6267;0,5894;6,5530
7,0000;1,0000;0,6277;0,6408;0,6272;13,6961
7,0000;1,0000;0,5730;0,5745;0,5732;11,1500
7,0000;1,0000;0,5985;0,6284;0,5971;5,6040
7,0000;1,0000;0,6204;0,6204;0,6207;10,8590
7,0000;1,0000;0,6022;0,6355;0,6005;4,7990
7,0000;1,0000;0,5730;0,6113;0,5711;18,3020
7,0000;1,0000;0,5766;0,5573;0,5779;5,2086
7,0000;1,0000;0,5620;0,5652;0,5622;5,1320
7,0000;1,0000;0,5985;0,6259;0,5972;8,8559
